,median_Male,median_Female,median_Total,elderly_Male_r,elderly_Female_r,elderly_Total_r,Chinese_Male_r,Chinese_Female_r,Chinese_Total_r,Filipino_Male_r,Filipino_Female_r,Filipino_Total_r,Indonesian_Male_r,Indonesian_Female_r,Indonesian_Total_r,White_Male_r,White_Female_r,White_Total_r,Indian_Male_r,Indian_Female_r,Indian_Total_r,Nepalese_Male_r,Nepalese_Female_r,Nepalese_Total_r,Pakistani_Male_r,Pakistani_Female_r,Pakistani_Total_r,Thai_Male_r,Thai_Female_r,Thai_Total_r,Japanese_Male_r,Japanese_Female_r,Japanese_Total_r,Other Asian_Male_r,Other Asian_Female_r,Other Asian_Total_r,Others_Male_r,Others_Female_r,Others_Total_r
Islands,42.8,42.1,42.4,0.1676708602516151,0.14615255295643403,0.15624262600366068,0.8060931655899355,0.755908064748547,0.7794401821416955,0.023298197891873512,0.08577501320908786,0.056479231637553334,0.0014960897653859232,0.039074883519861665,0.021453944809025453,0.08497789867392044,0.04523512176377348,0.06387076613031804,0.030343420605236315,0.02426869686344205,0.02711717399761481,0.0022985379122747365,0.0022815697199673377,0.0022895262147562836,0.004529071744304659,0.003674528075315817,0.004075229112059234,0.001509690581434886,0.003938709832364667,0.0027997270425571263,0.0030465827949676984,0.0040227676641529375,0.003565028284258391,0.009466167970078205,0.010747394207214564,0.010146618962889268,0.03294117647058824,0.025073250396272638,0.02876257166727253
Sai Kung,42.9,42.6,42.8,0.1526915772458871,0.1420503474656039,0.1469393587722793,0.9618329963854684,0.8741874111309154,0.9144553375019485,0.0040433743797096125,0.05035547633829331,0.029077823774964057,0.0004571180825545832,0.045096429215148295,0.024587324407184797,0.014820993501383136,0.008687641439528968,0.011505551417733358,0.0032092516929863005,0.0034686479883043277,0.003349470839900923,0.0012017021757878218,0.000400536719203733,0.0007686245301647237,0.002229039722147607,0.0020227104319788516,0.002117506452115774,0.00015080184166749137,0.0017142971581919771,0.0009959641799317546,0.0006409078270868383,0.0012216369935713857,0.00095482652902153,0.001932148596364733,0.0023711773776860993,0.0021694698006339526,0.00948166579484352,0.010474035207177617,0.010018100566400498
Sha Tin,44.6,43.9,44.2,0.16089332886978253,0.15827541044036292,0.1594725020233588,0.9861884038276053,0.9070794853822074,0.943253500334953,0.00044083088335217084,0.03996190912365851,0.02189016571839089,0.0003115646844744666,0.04032215274888227,0.022026571930026644,0.0023698803127579107,0.0010109162196201525,0.0016323276659078439,0.0022903318826793238,0.002234068993635696,0.0022597962394323074,0.0001856130035167035,6.422948356702626e-05,0.0001197343413247165,0.00019224203935658577,0.00014800707082836487,0.00016823432768409534,0.00015246782431729218,0.0013041377750348377,0.000777515406323792,0.0006496455123084623,0.0005389691447146116,0.000589577959181199,0.0010805328419008096,0.0009383089773269923,0.0010033434678096496,0.006138487187730981,0.006397815080524225,0.006279232608965828
Tai Po,44.0,43.2,43.6,0.15521895620875825,0.15014826294402617,0.1524844863552312,0.9766403862084726,0.8961061147787038,0.9332107157663379,0.001328305767417945,0.04164785415319284,0.023071405539506328,0.0002570914388550861,0.04476564692674712,0.024259194672387355,0.006220184534521667,0.0021964880596468538,0.00405032804037825,0.0013997200559888023,0.0016473660447351402,0.0015332679665444877,0.00037849572942554347,0.0,0.0001743845541348881,0.0006213043105664581,0.0009335074253499127,0.0007896659055164744,7.855571742794298e-05,0.0017693931591599653,0.0009903726565019116,0.000728425743422744,0.00037218269899571687,0.0005363147608299388,0.0006141628817093724,0.0012568792785756996,0.0009607601850450438,0.011733367612191847,0.009304567474892922,0.010423589952817463
North,43.3,42.3,42.7,0.15711825565785728,0.15556456227350754,0.15629143274019094,0.9905555480222924,0.9374225157352661,0.9622799505186032,0.0005627347553120805,0.017827341216860578,0.009750372696418942,0.0001491586098417563,0.033091741369444976,0.017680083737748598,0.0017560036340461306,0.0006079534617585352,0.001145050274368002,0.00016271848346373412,0.0006794773984360099,0.0004377200494813969,0.0,0.00012516688918558078,6.66095727471691e-05,0.0006305341234219697,0.0007211996948312036,0.0006787832651378184,0.0,0.0012457085637993515,0.000662923843055159,0.0002915372828725236,0.0002384131222582491,0.0002632664065721445,0.0006712137442879033,0.0017582967766545871,0.0012497224601135534,0.005220551344461469,0.006282185771504864,0.005785517175754116
Yuen Long,42.3,42.0,42.1,0.15602945956999095,0.1465934755906136,0.15098880129213355,0.9685480290960442,0.9069435004312828,0.9356391795212463,0.0013212763949427971,0.026602375560439026,0.014826320708328856,0.0009857141359097057,0.03947990039348839,0.021549127451650826,0.0018630696256733091,0.0007985589363926472,0.0012944130203296114,0.0021252276405429116,0.0022585197399501967,0.002196431653364334,0.009570515262839625,0.007500967719321774,0.008464972695212137,0.003932370223044039,0.0030631745460862995,0.003468049978996317,0.0001293312873356706,0.0017556104861151329,0.0009980819892604425,0.0002726443354643867,0.0004632861005026045,0.0003744842700324662,0.0015275073666402177,0.0018470485322669625,0.001698204754973314,0.009724314631563126,0.009287057554154184,0.009490733956605414
Tuen Mun,44.2,43.3,43.7,0.14984113071107702,0.14590386176682343,0.14773992998146326,0.9832891421058397,0.9352874496407837,0.9576720982466754,0.0007275117782403856,0.017267658277293547,0.00955448508989391,0.000986085241590884,0.030246166572203245,0.016601301044964326,0.0027741864796756873,0.0012139826289425714,0.0019415531198714898,0.001135093678097951,0.001068457897397405,0.0010995321878851173,0.0007494247836090719,0.0006127357117691212,0.0006764779817657506,0.0018056316423797523,0.0012063234325454574,0.0014857990717332347,0.0005434425331434206,0.0021713821785818233,0.0014122244271907362,0.000582885942807056,0.0003523230342672447,0.000459841528390616,0.0007406595814615974,0.002117767803802025,0.0014755803711023322,0.006665936233154377,0.008455752822413872,0.007621106930527142
Tsuen Wan,43.3,43.1,43.2,0.14634445117428083,0.14655618549207733,0.1464586286043974,0.9742277512743209,0.8990202064253524,0.9336721895420738,0.0037498043432398036,0.041314144497746765,0.024006321413789212,0.00038791079412825555,0.04163977322285216,0.02263291901315707,0.0044779877637963535,0.0018258467800552406,0.0030478245055124233,0.0010548451419277124,0.0014129960750109026,0.0012479775238620828,0.0038723024887539893,0.0022794010757377524,0.003013332664400657,0.003246200856125928,0.0028085477540340164,0.0030101970424814056,0.00021777448091410837,0.0010699229539177205,0.0006772943345583163,0.0009663742590563559,0.0010815525512429132,0.0010284839895144803,0.001504005008813061,0.0012967001017589765,0.0013922161321476502,0.006295043588923445,0.00625090856229103,0.006271243838502929
Kwai Tsing,43.5,43.5,43.5,0.16490666009488017,0.168303218612305,0.16671469076323736,0.9809952149179553,0.9335635693071629,0.9557467554920356,0.0004600250549360277,0.018664270480355964,0.01015037305118216,0.00036555562401166487,0.027285488998834383,0.014695373550632765,0.0011377405376542828,0.0003789150039515422,0.0007338081956002244,0.0022303000431273486,0.0023817514534096936,0.002310919526981858,0.00037377035713552254,0.00036448014665815007,0.00036882506166294,0.008214733123857638,0.005882204347057274,0.006973098822064959,0.00020536832809644096,0.0017105305892669619,0.0010065850641217736,7.393259811471875e-05,0.00022013157372422927,0.0001517561451633972,0.0008912985439385537,0.0026848834565709272,0.0018460462721775278,0.005052060871172447,0.0068637746430079355,0.006016458818376708
Kwun Tong,43.6,43.9,43.8,0.17198082993021538,0.17117987836543455,0.17155276227717292,0.9857483050650981,0.9394971899414908,0.9610294491790033,0.0007915768276647821,0.020106055185625426,0.011114177823761335,0.0004239407277869963,0.02595120769044349,0.014066959529158526,0.000794888864600618,0.0001904146423089795,0.0004718283038389246,0.002917904540471435,0.002824483860916529,0.0028679759645111103,0.0003179555458402472,0.00012982816521066784,0.00021741108118068095,0.0015798416183937284,0.0014050292546132276,0.001486413349348769,0.0005299259097337454,0.002515781334748941,0.0015912640835351968,0.00014904166211261589,0.00011540281352059363,0.0001310634177330346,0.0006590953502313458,0.001468500802049554,0.0010916811735881,0.0060875238880664,0.005796106309071815,0.00593177609434099
